horizon,model,cost_scenario,fee_bps,slippage_bps,include_spread,validation_macro_f1,accuracy,macro_f1,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,confusion_matrix,gross_pnl,net_pnl,sharpe_daily_annualized,sharpe_daily_observations,max_drawdown,turnover,hit_rate,number_of_trades,average_pnl_per_trade,active_fraction,test_rows
5,lightgbm_all,spread_only,0.0,0.0,True,0.39967884165150985,0.4087620811389548,0.3518858873585708,0.3871023513139696,0.4246139610201839,0.3718943422543806,0.13910288270377733,0.7500063845544858,0.2639443155452436,"[[4478, 19806, 7908], [3287, 29368, 6502], [3803, 19990, 8532]]",0.1630911343039898,-0.19475264890961017,-62.671493238560025,2,-0.22140872265654682,29708.0,0.4923210663575775,20341,-9.574389111135645e-06,0.3328703435769817,103674
5,lightgbm_all,realistic_low,0.5,0.25,True,0.39967884165150985,0.4087620811389548,0.3518858873585708,0.3871023513139696,0.4246139610201839,0.3718943422543806,0.13910288270377733,0.7500063845544858,0.2639443155452436,"[[4478, 19806, 7908], [3287, 29368, 6502], [3803, 19990, 8532]]",0.1630911343039898,-2.4228526489096094,-25.232374232992253,2,-2.4241121355488615,29708.0,0.4923210663575775,20341,-0.00011911177665353766,0.3328703435769817,103674
5,lightgbm_all,realistic_base,1.0,0.5,True,0.39967884165150985,0.4087620811389548,0.3518858873585708,0.3871023513139696,0.4246139610201839,0.3718943422543806,0.13910288270377733,0.7500063845544858,0.2639443155452436,"[[4478, 19806, 7908], [3287, 29368, 6502], [3803, 19990, 8532]]",0.1630911343039898,-4.650952648909609,-24.616595033559413,2,-4.652137135548859,29708.0,0.4923210663575775,20341,-0.00022864916419593968,0.3328703435769817,103674
5,lightgbm_all,stressed,2.0,1.0,True,0.39967884165150985,0.4087620811389548,0.3518858873585708,0.3871023513139696,0.4246139610201839,0.3718943422543806,0.13910288270377733,0.7500063845544858,0.2639443155452436,"[[4478, 19806, 7908], [3287, 29368, 6502], [3803, 19990, 8532]]",0.1630911343039898,-9.10715264890961,-24.30104643570608,2,-9.108187135548969,29708.0,0.4923210663575775,20341,-0.0004477239392807438,0.3328703435769817,103674
10,naive_majority,zero_cost,0.0,0.0,False,0.10129074660405196,0.26535671566925184,0.13980601274105472,0.0,0.26535671566925184,0.0,0.0,1.0,0.0,"[[0, 37861, 0], [0, 27509, 0], [0, 38298, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103668
10,naive_majority,spread_only,0.0,0.0,True,0.10129074660405196,0.26535671566925184,0.13980601274105472,0.0,0.26535671566925184,0.0,0.0,1.0,0.0,"[[0, 37861, 0], [0, 27509, 0], [0, 38298, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103668
10,naive_majority,realistic_low,0.5,0.25,True,0.10129074660405196,0.26535671566925184,0.13980601274105472,0.0,0.26535671566925184,0.0,0.0,1.0,0.0,"[[0, 37861, 0], [0, 27509, 0], [0, 38298, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103668
10,naive_majority,realistic_base,1.0,0.5,True,0.10129074660405196,0.26535671566925184,0.13980601274105472,0.0,0.26535671566925184,0.0,0.0,1.0,0.0,"[[0, 37861, 0], [0, 27509, 0], [0, 38298, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103668
10,naive_majority,stressed,2.0,1.0,True,0.10129074660405196,0.26535671566925184,0.13980601274105472,0.0,0.26535671566925184,0.0,0.0,1.0,0.0,"[[0, 37861, 0], [0, 27509, 0], [0, 38298, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103668
10,ofi_threshold,zero_cost,0.0,0.0,False,0.333266375625598,0.34044256665509126,0.33905635733208284,0.3774746249223212,0.2704528955157201,0.37729367898769856,0.33691661604289375,0.35210294812606785,0.3355527703796543,"[[12756, 12903, 12202], [8815, 9686, 9008], [12222, 13225, 12851]]",0.27019420755262236,0.27019420755262236,24.669098136049413,2,-0.0636936348884033,20058.0,0.4788587092685659,19121,1.4130757154574674e-05,0.6545221283327546,103668
10,ofi_threshold,spread_only,0.0,0.0,True,0.333266375625598,0.34044256665509126,0.33905635733208284,0.3774746249223212,0.2704528955157201,0.37729367898769856,0.33691661604289375,0.35210294812606785,0.3355527703796543,"[[12756, 12903, 12202], [8815, 9686, 9008], [12222, 13225, 12851]]",0.27019420755262236,0.051297372104374954,37.07454227489839,2,-0.14329201736180597,20058.0,0.4788587092685659,19121,2.6827766384799413e-06,0.6545221283327546,103668
10,ofi_threshold,realistic_low,0.5,0.25,True,0.333266375625598,0.34044256665509126,0.33905635733208284,0.3774746249223212,0.2704528955157201,0.37729367898769856,0.33691661604289375,0.35210294812606785,0.3355527703796543,"[[12756, 12903, 12202], [8815, 9686, 9008], [12222, 13225, 12851]]",0.27019420755262236,-1.453052627895625,-20.17212447103734,2,-1.4545292685157827,20058.0,0.4788587092685659,19121,-7.59925018511388e-05,0.6545221283327546,103668
10,ofi_threshold,realistic_base,1.0,0.5,True,0.333266375625598,0.34044256665509126,0.33905635733208284,0.3774746249223212,0.2704528955157201,0.37729367898769856,0.33691661604289375,0.35210294812606785,0.3355527703796543,"[[12756, 12903, 12202], [8815, 9686, 9008], [12222, 13225, 12851]]",0.27019420755262236,-2.9574026278956245,-20.332913835236347,2,-2.9584292685158053,20058.0,0.4788587092685659,19121,-0.00015466778034075752,0.6545221283327546,103668
10,ofi_threshold,stressed,2.0,1.0,True,0.333266375625598,0.34044256665509126,0.33905635733208284,0.3774746249223212,0.2704528955157201,0.37729367898769856,0.33691661604289375,0.35210294812606785,0.3355527703796543,"[[12756, 12903, 12202], [8815, 9686, 9008], [12222, 13225, 12851]]",0.27019420755262236,-5.966102627895624,-20.412166779785274,2,-5.96631581305999,20058.0,0.4788587092685659,19121,-0.00031201833731999497,0.6545221283327546,103668
10,logistic_no_ofi,zero_cost,0.0,0.0,False,0.3566398393659514,0.3941814253192885,0.3732932126620217,0.3896142214354208,0.3861299052774019,0.4005018976709459,0.41853094213042447,0.20745937693118616,0.504229985900047,"[[15846, 4862, 17153], [10049, 5707, 11753], [14776, 4211, 19311]]",0.3916946627013157,0.3916946627013157,22.422931333010627,2,-0.03904006052022324,75232.0,0.4767851316840483,41046,9.54282177803722e-06,0.8574198402592893,103668
10,logistic_no_ofi,spread_only,0.0,0.0,True,0.3566398393659514,0.3941814253192885,0.3732932126620217,0.3896142214354208,0.3861299052774019,0.4005018976709459,0.41853094213042447,0.20745937693118616,0.504229985900047,"[[15846, 4862, 17153], [10049, 5707, 11753], [14776, 4211, 19311]]",0.3916946627013157,-0.4263734325599624,-23.405688173732628,2,-0.432426290738943,75232.0,0.4767851316840483,41046,-1.0387697523752922e-05,0.8574198402592893,103668
10,logistic_no_ofi,realistic_low,0.5,0.25,True,0.3566398393659514,0.3941814253192885,0.3732932126620217,0.3896142214354208,0.3861299052774019,0.4005018976709459,0.41853094213042447,0.20745937693118616,0.504229985900047,"[[15846, 4862, 17153], [10049, 5707, 11753], [14776, 4211, 19311]]",0.3916946627013157,-6.068773432559961,-20.647169549585442,2,-6.0696437109703405,75232.0,0.4767851316840483,41046,-0.00014785298037713691,0.8574198402592893,103668
10,logistic_no_ofi,realistic_base,1.0,0.5,True,0.3566398393659514,0.3941814253192885,0.3732932126620217,0.3896142214354208,0.3861299052774019,0.4005018976709459,0.41853094213042447,0.20745937693118616,0.504229985900047,"[[15846, 4862, 17153], [10049, 5707, 11753], [14776, 4211, 19311]]",0.3916946627013157,-11.711173432559962,-20.5589539798435,2,-11.71117343256001,75232.0,0.4767851316840483,41046,-0.00028531826323052094,0.8574198402592893,103668
